ClubheadSpeed,BallSpeed,AoA,LaunchAngle,Spin,Carry
65,96.2,-2,16.2,2550,132
65,96.2,-1,16.75,2450,133
65,96.2,0,17.3,2350,135
65,96.2,1,17.8,2275,136
65,96.2,2,18.3,2200,137
65,96.2,3,18.85,2125,138

70,103.6,-2,15.6,2650,149
70,103.6,-1,16.1,2550,150
70,103.6,0,16.6,2450,152
70,103.6,1,17.1,2375,153
70,103.6,2,17.6,2300,154
70,103.6,3,18.15,2225,156

75,111,-2,14.8,2750,165
75,111,-1,15.3,2675,167
75,111,0,15.8,2600,168
75,111,1,16.3,2525,169
75,111,2,16.8,2450,170
75,111,3,17.4,2375,172

80,118.4,-2,14.0,2750,182
80,118.4,-1,14.5,2675,183
80,118.4,0,15.0,2600,184
80,118.4,1,15.6,2525,186
80,118.4,2,16.2,2450,187
80,118.4,3,16.85,2375,189

85,125.8,-2,13.1,2750,197
85,125.8,-1,13.75,2675,199
85,125.8,0,14.4,2600,201
85,125.8,1,15.0,2525,203
85,125.8,2,15.6,2450,204
85,125.8,3,16.25,2375,206

90,133.2,-2,12.6,2750,213
90,133.2,-1,13.15,2675,215
90,133.2,0,13.7,2600,217
90,133.2,1,14.35,2525,219
90,133.2,2,15.0,2450,220
90,133.2,3,15.7,2375,223

95,140.6,-2,12.0,2750,229
95,140.6,-1,12.6,2675,231
95,140.6,0,13.2,2600,233
95,140.6,1,13.85,2525,235
95,140.6,2,14.5,2450,237
95,140.6,3,15.15,2375,239

100,148,-2,11.3,2750,244
100,148,-1,11.9,2675,246
100,148,0,12.5,2600,248
100,148,1,13.15,2525,250
100,148,2,13.8,2450,252
100,148,3,14.5,2375,254

105,155.4,-2,10.7,2750,258
105,155.4,-1,11.35,2675,261
105,155.4,0,12.0,2600,263
105,155.4,1,12.65,2525,265
105,155.4,2,13.3,2450,267
105,155.4,3,14.0,2375,270

110,162.8,-2,10.0,2750,272
110,162.8,-1,10.75,2675,275
110,162.8,0,11.5,2600,278
110,162.8,1,12.15,2525,280
110,162.8,2,12.8,2450,282
110,162.8,3,13.5,2375,285

115,170.2,-2,9.6,2750,286
115,170.2,-1,10.3,2675,289
115,170.2,0,11.0,2600,292
115,170.2,1,11.7,2525,294
115,170.2,2,12.4,2450,297
115,170.2,3,13.15,2375,299
